variant,seed,unsafe_trials,best_safe_cost,max_safe_step
lcb_only,1,1,0.32817566357149325,2.0
lcb_only,2,3,0.321740968570517,2.0
lcb_only,3,4,0.34139935780260977,2.0
lcb_only,4,4,0.3387008325576507,2.0
lcb_only,5,6,0.35373280382637495,2.0
lcb_only,6,2,0.33769261226258807,2.0
lcb_only,7,4,0.3380842236621108,2.0
lcb_only,8,1,0.3252937184977367,2.0
lcb_only,9,1,0.32454586015483483,2.0
lcb_only,10,2,0.33126777926472356,2.0
lcb_only,11,6,0.3518555996596631,2.0
lcb_only,12,4,0.34185777164699743,2.0
lcb_only,13,5,0.3509158429717885,2.0
lcb_only,14,3,0.33551944829423025,2.0
lcb_only,15,7,0.34638161167065307,2.0
lcb_only,16,3,0.34198638661227926,2.0
lcb_only,17,2,0.32284432250071415,2.0
lcb_only,18,3,0.3544225801511699,2.0
lcb_only,19,1,0.33029210909318185,2.0
lcb_only,20,3,0.3402785195801725,2.0
trust_region,1,0,0.3290357552938507,0.18
trust_region,2,0,0.32262035033824404,0.18
trust_region,3,3,0.34423518215281707,0.18
trust_region,4,4,0.33749544004483994,0.18
trust_region,5,2,0.3474947974591718,0.18
trust_region,6,0,0.33898447032563184,0.18
trust_region,7,2,0.3401621484943104,0.18
trust_region,8,0,0.3228122989555823,0.18
trust_region,9,0,0.3349478818913294,0.18
trust_region,10,0,0.33247416491696535,0.18
trust_region,11,1,0.347003186933142,0.18
trust_region,12,1,0.33610481088665417,0.18
trust_region,13,1,0.34726750236037573,0.18
trust_region,14,2,0.33230225993592055,0.18
trust_region,15,0,0.33935866931839137,0.18
trust_region,16,0,0.33416960288927544,0.18
trust_region,17,0,0.3236531687511351,0.18
trust_region,18,2,0.353010638423871,0.18
trust_region,19,0,0.3279099656359936,0.18
trust_region,20,0,0.343510656107374,0.18
